District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Buddha Tooth Relic Temple & Museum (新加坡佛牙寺龙华院) (Buddha Tooth Relic Temple & Museum),1.2813293427882382,103.84460532131115,Buddhist Temple
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Sushi Mitsuya,1.277810251547347,103.84431374845697,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Man Man 鰻満 Japanese Unagi Restaurant (Man Man Japanese Unagi Restaurant),1.278876,103.841514,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Neon Pigeon,1.278912044655249,103.84154312265592,Japanese Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Venue By Sebastian,1.2763631850819153,103.84825074966766,Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Bar•Celona,1.2784235179084311,103.84275094438317,Tapas Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,D.Bespoke,1.2786796377060607,103.84089664213177,Speakeasy
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Jekyll & Hyde,1.2781382361918587,103.84434252977371,Cocktail Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Essen @ The Pinnacle,1.2770737792915272,103.84209488158916,Food Court
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Pepper Bowl,1.279371,103.84671,Asian Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Mellower Coffee,1.2778141065087054,103.84818781617354,Café
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Lolla,1.2810338519455675,103.84570753754707,Spanish Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Lucha Loco,1.2789585210295404,103.84286593784815,Mexican Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Esquina Tapas Bar,1.2799758668803136,103.84205290386025,Tapas Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Burnt Ends,1.2805023854323088,103.84174497953678,Australian Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Keong Saik Bakery,1.2803009020972937,103.84159523371491,Café
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Orchid Hotel,1.276764980334722,103.84370093607066,Hotel
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Flor Patisserie,1.279211884310146,103.84320556433978,Bakery
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Maxwell Food Centre,1.280291381444506,103.84474193031609,Food Court
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Gibson,1.2791071221630073,103.84077897659141,Cocktail Bar
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,meta,1.279405194593621,103.84151945137349,Modern European Restaurant
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Ann Siang Hill,1.2815049423709581,103.84549022833018,Other Great Outdoors
"2 - Anson, Tanjong Pagar",1.274525775,103.84392295,Park Bench Deli,1.2798723608759432,103.84728710112705,Deli / Bodega
